        Span [m]	       Chord [m]	Pitch axis [x/c]
          0.0600	          0.0400	          0.4710
          0.0642	          0.0400	          0.4667
          0.0684	          0.0400	          0.4623
          0.0726	          0.0400	          0.4579
          0.0768	          0.0400	          0.4534
          0.0810	          0.0403	          0.4489
          0.0852	          0.0409	          0.4443
          0.0894	          0.0418	          0.4398
          0.0936	          0.0430	          0.4352
          0.0978	          0.0444	          0.4307
          0.1020	          0.0461	          0.4261
          0.1062	          0.0480	          0.4216
          0.1104	          0.0500	          0.4172
          0.1146	          0.0521	          0.4130
          0.1188	          0.0544	          0.4088
          0.1230	          0.0567	          0.4046
          0.1272	          0.0591	          0.4005
          0.1314	          0.0615	          0.3965
          0.1356	          0.0638	          0.3925
          0.1398	          0.0662	          0.3886
          0.1440	          0.0685	          0.3847
          0.1482	          0.0706	          0.3809
          0.1524	          0.0727	          0.3771
          0.1566	          0.0746	          0.3733
          0.1608	          0.0763	          0.3696
          0.1650	          0.0779	          0.3660
          0.1692	          0.0791	          0.3625
          0.1734	          0.0801	          0.3591
          0.1776	          0.0809	          0.3559
          0.1818	          0.0813	          0.3528
          0.1860	          0.0814	          0.3498
          0.1902	          0.0815	          0.3470
          0.1944	          0.0815	          0.3443
          0.1986	          0.0816	          0.3417
          0.2028	          0.0816	          0.3392
          0.2070	          0.0816	          0.3370
          0.2112	          0.0816	          0.3348
          0.2155	          0.0815	          0.3328
          0.2197	          0.0814	          0.3309
          0.2239	          0.0813	          0.3291
          0.2281	          0.0812	          0.3275
          0.2323	          0.0810	          0.3259
          0.2365	          0.0807	          0.3244
          0.2407	          0.0805	          0.3230
          0.2449	          0.0802	          0.3217
          0.2491	          0.0798	          0.3205
          0.2533	          0.0794	          0.3194
          0.2575	          0.0790	          0.3183
          0.2617	          0.0786	          0.3172
          0.2659	          0.0781	          0.3162
          0.2703	          0.0776	          0.3153
          0.2747	          0.0771	          0.3144
          0.2791	          0.0766	          0.3135
          0.2835	          0.0761	          0.3127
          0.2879	          0.0755	          0.3120
          0.2923	          0.0750	          0.3113
          0.2967	          0.0744	          0.3106
          0.3011	          0.0739	          0.3099
          0.3055	          0.0733	          0.3093
          0.3099	          0.0728	          0.3087
          0.3143	          0.0722	          0.3081
          0.3187	          0.0716	          0.3076
          0.3231	          0.0710	          0.3071
          0.3274	          0.0704	          0.3065
          0.3318	          0.0699	          0.3060
          0.3362	          0.0693	          0.3055
          0.3404	          0.0688	          0.3049
          0.3447	          0.0683	          0.3044
          0.3489	          0.0678	          0.3039
          0.3531	          0.0674	          0.3033
          0.3573	          0.0669	          0.3027
          0.3615	          0.0665	          0.3021
          0.3657	          0.0661	          0.3015
          0.3699	          0.0657	          0.3008
          0.3741	          0.0652	          0.3002
          0.3784	          0.0648	          0.2996
          0.3826	          0.0644	          0.2989
          0.3868	          0.0639	          0.2983
          0.3910	          0.0635	          0.2976
          0.3952	          0.0631	          0.2970
          0.3994	          0.0626	          0.2963
          0.4036	          0.0622	          0.2957
          0.4078	          0.0617	          0.2951
          0.4121	          0.0613	          0.2945
          0.4163	          0.0609	          0.2940
          0.4205	          0.0604	          0.2934
          0.4247	          0.0600	          0.2929
          0.4289	          0.0595	          0.2924
          0.4330	          0.0591	          0.2920
          0.4372	          0.0587	          0.2915
          0.4413	          0.0582	          0.2911
          0.4455	          0.0578	          0.2907
          0.4496	          0.0574	          0.2903
          0.4537	          0.0570	          0.2899
          0.4579	          0.0566	          0.2896
